test,type,wall_time_s,user_time_s,sys_time_s,mem_before_kb,mem_after_kb,mem_change_kb
"octane/base.js",main,0.000314,0.000000,0.000313,2688,2816,128
"octane/richards.js",main,0.000293,0.000293,0.000000,2816,3072,256
"octane/deltablue.js",main,0.000517,0.000517,0.000000,3072,3072,0
"octane/crypto.js",main,0.001761,0.001761,0.000000,3200,3712,512
"octane/raytrace.js",main,0.000792,0.000785,0.000000,3712,3712,0
"octane/earley-boyer.js",main,0.008384,0.007594,0.000769,3840,4736,896
"octane/regexp.js",main,0.002504,0.002430,0.000075,4736,4992,256
"octane/splay.js",main,0.000225,0.000225,0.000000,4992,4992,0
"octane/navier-stokes.js",main,0.000420,0.000419,0.000000,4992,4992,0
"octane/pdfjs.js",main,0.057749,0.050533,0.007210,6272,15568,9296
"octane/mandreel.js",main,0.154003,0.137989,0.016011,15880,44424,28544
"octane/gbemu-part1.js",main,0.001363,0.001363,0.000000,44424,44424,0
"octane/gbemu-part2.js",main,0.009346,0.009347,0.000000,44424,44424,0
"octane/code-load.js",main,0.000508,0.000507,0.000000,44424,44424,0
"octane/box2d.js",main,0.012078,0.012079,0.000000,44424,44424,0
"octane/zlib.js",main,0.000085,0.000085,0.000000,44424,44424,0
"octane/zlib-data.js",data,0.000649,0.000650,0.000000,44424,44424,0
"octane/typescript.js",main,0.000139,0.000139,0.000000,44424,44424,0
"octane/typescript-input.js",main,0.004180,0.004180,0.000000,44424,44424,0
"octane/typescript-compiler.js",main,0.040875,0.040876,0.000000,44424,44424,0
